Source	Target	Type	Id	Label	timeset	Weight
R010000	B19PRDSPAMRM000	Directed	1			65.6000
R010000	B19PRDSPAMRM000	Directed	2			5.0000
R010000	B19PRDSPAMRM000	Directed	3			0.8000
R010000	B19PRDSPAORM000	Directed	4			64.2000
R010000	B19PRDSPAORM000	Directed	5			5.0000
R010000	B19PRDSPAIFL000	Directed	6			71.1500
R010000	B19PRDSPAIFL000	Directed	7			5.0000
R010000	B19PRDSPAIFL000	Directed	8			0.8000
R010000	B19PRODZNERN000	Directed	9			39.7250
R010000	B1930P002	Directed	10			37.7000
R010000	B1950P002	Directed	11			16.7000
R010000	B19CIPP001	Directed	12			42.3050
R010000	B19CIPP001	Directed	13			1.5000
R010000	B19CIPP001	Directed	14			10.0000
R010000	B19CIPP001	Directed	15			0.4000
R010000	B19EPGX001	Directed	16			52.9900
R010000	B19EPGX001	Directed	17			5.0000
R010000	B19NBN005	Directed	18			48.2500
R010000	B19NBO003	Directed	19			35.0500
R010000	B19NE31003	Directed	20			34.4500
R010000	B19NE31003	Directed	21			20.0000
R010000	B19NE31003	Directed	22			0.5200
R010000	B19PRODZNEDZ000	Directed	23			23.6500
R010000	B19QUEL002	Directed	24			38.4000
R010000	B19QUEL002	Directed	25			5.0000
R010000	B19RBC001	Directed	26			22.5500
R010000	B19RBC001	Directed	27			0.8000
R010000	B19RBP002	Directed	28			41.4500
R010000	B19RDS001	Directed	29			24.7500
R010000	B19RDS001	Directed	30			4.0000
R010000	B19RDS001	Directed	31			0.2400
R010000	B19RMS001	Directed	32			49.7000
R010000	B19RMS001	Directed	33			30.0000
R010000	B19RMS001	Directed	34			0.8800
R010000	B19RSP002	Directed	35			30.5000
R010000	B19RSP002	Directed	36			0.8000
R010000	B19RSR005	Directed	37			23.2500
R010000	B19RSR005	Directed	38			5.0000
R010000	B19RUM002	Directed	39			23.6000
R010000	B19RUM002	Directed	40			0.8000
R010000	B19RVE003	Directed	41			28.6000
R010000	B19RVE003	Directed	42			20.0000
R010000	B19RVE003	Directed	43			0.4000
R010000	B19AAP003	Directed	44			23.7000
R010000	B19AARS001	Directed	45			61.0000
R010000	B19PRODZNEAIF000	Directed	46			45.5000
R010000	B19PRODZNEAIF000	Directed	47			5.0000
R010000	B19PRDSPANBC000	Directed	48			54.6500
R010000	B19PRDSPANBC000	Directed	49			5.0000
R010000	B19PRODZNEDDC000	Directed	50			55.3000
R0101057	B19PLGO001	Directed	51			8.0000
R0101059	B19RVE003	Directed	52			7.0000
R0101063	B19EPGX001	Directed	53			2.0000
R0101063	B19NBN005	Directed	54			5.0000
R0101063	B19NBO003	Directed	55			3.0000
R0101063	B19RDS001	Directed	56			5.0000
R0101072	B19PRODZNEDZ000	Directed	57			3.0000
R0101077	B19RVE003	Directed	58			8.0000
R0101077	B19AARS001	Directed	59			3.0000
R0101084	B19CIPP001	Directed	60			7.0000
R0101094	B1930P002	Directed	61			10.0000
R0101094	B1950P002	Directed	62			10.0000
R0101094	B19NBO003	Directed	63			5.0000
R0101094	B19AAP003	Directed	64			10.0000
R0101100	B19PRDSPAAFO000	Directed	65			10.0000
R0101102	B19PRDSPAAFO000	Directed	66			10.0000
R0101102	B19RBP002	Directed	67			5.0000
R0101102	B19PRODZNEDDC000	Directed	68			8.0000
R0101103	B19RBC001	Directed	69			0.3000
R0101114	B19PRDSPAMRM000	Directed	70			4.0000
R0101114	B19PRDSPAORM000	Directed	71			2.0000
R0101114	B19PRDSPAIFL000	Directed	72			2.0000
R0101114	B19CIPP001	Directed	73			2.0000
R0101114	B19EPGX001	Directed	74			2.0000
R0101114	B19NBN005	Directed	75			2.0000
R0101114	B19NE31003	Directed	76			2.0000
R0101114	B19PRODZNEDZ000	Directed	77			3.0000
R0101114	B19RBP002	Directed	78			2.0000
R0101114	B19RMS001	Directed	79			2.0000
R0101114	B19RVE003	Directed	80			2.0000
R0101114	B19AARS001	Directed	81			2.0000
R0101114	B19PRDSPANBC000	Directed	82			3.0000
R0101114	B19PRODZNEDDC000	Directed	83			5.0000
R0101121	B19PRDSPAAFO000	Directed	84			10.0000
R0102002	B19RBC001	Directed	85			2.5000
R0102002	B19RDS001	Directed	86			2.5000
R0102002	B19RSP002	Directed	87			2.5000
R0102002	B19RUM002	Directed	88			3.0000
R0102008	B19PRODZNERN000	Directed	89			5.0000
R0102008	B1930P002	Directed	90			3.0000
R0102008	B1950P002	Directed	91			3.0000
R0102008	B19NBO003	Directed	92			3.0000
R0102008	B19QUEL002	Directed	93			2.0000
R0102008	B19RBC001	Directed	94			2.0000
R0102008	B19RDS001	Directed	95			1.0000
R0102008	B19RDS001	Directed	96			1.0000
R0102008	B19RSP002	Directed	97			2.0000
R0102008	B19RSR005	Directed	98			3.0000
R0102008	B19RUM002	Directed	99			2.0000
R0102008	B19AAP003	Directed	100			5.0000
R0102008	B19PRODZNEAIF000	Directed	101			2.0000
R0102018	B19RBC001	Directed	102			8.0000
R0102018	B19RDS001	Directed	103			8.0000
R0102018	B19RSP002	Directed	104			8.0000
R0102018	B19RUM002	Directed	105			8.0000
R0102026	B19PRODZNEDZ000	Directed	106			2.5000
R0102031	B19PRDSPAORM000	Directed	107			0.3000
R0102031	B19PRDSPAIFL000	Directed	108			0.3500
R0102031	B19PRODZNERN000	Directed	109			0.5000
R0102031	B1930P002	Directed	110			0.3000
R0102031	B1950P002	Directed	111			0.3000
R0102031	B19CIPP001	Directed	112			0.2000
R0102031	B19EPGX001	Directed	113			0.3000
R0102031	B19NBN005	Directed	114			0.2000
R0102031	B19NBO003	Directed	115			0.3000
R0102031	B19NE31003	Directed	116			0.3000
R0102031	B19QUEL002	Directed	117			0.3000
R0102031	B19RBC001	Directed	118			0.2500
R0102031	B19RBP002	Directed	119			0.2000
R0102031	B19RDS001	Directed	120			0.3500
R0102031	B19RSP002	Directed	121			0.3000
R0102031	B19RSR005	Directed	122			0.3000
R0102031	B19RUM002	Directed	123			0.5000
R0102031	B19RVE003	Directed	124			0.3000
R0102031	B19AAP003	Directed	125			0.3000
R0102031	B19AARS001	Directed	126			0.5000
R0102031	B19PRODZNEAIF000	Directed	127			0.3000
R0102031	B19PRDSPANBC000	Directed	128			0.2500
R0102031	B19PRODZNEDDC000	Directed	129			0.5000
R0104015	B1930P002	Directed	130			1.5000
R0104015	B1950P002	Directed	131			1.5000
R0104015	B19CIPP001	Directed	132			1.5000
R0104015	B19EPGX001	Directed	133			1.5000
R0104015	B19NBN005	Directed	134			1.5000
R0104015	B19NBO003	Directed	135			1.5000
R0104015	B19NE31003	Directed	136			1.5000
R0104015	B19QUEL002	Directed	137			1.5000
R0104015	B19RBC001	Directed	138			1.2000
R0104015	B19RBP002	Directed	139			1.5000
R0104015	B19RDS001	Directed	140			1.2000
R0104015	B19RMS001	Directed	141			1.5000
R0104015	B19RSP002	Directed	142			1.2000
R0104015	B19RUM002	Directed	143			1.2000
R0104015	B19RVE003	Directed	144			1.5000
R0104015	B19AAP003	Directed	145			1.5000
R0104015	B19AARS001	Directed	146			1.5000
R0104015	B19PRODZNEAIF000	Directed	147			1.5000
R0104015	B19PRODZNEDDC000	Directed	148			1.5000
R0104056	B19PRDSPAMRM000	Directed	149			1.0000
R0104056	B19PRDSPAORM000	Directed	150			1.0000
R0104056	B19PRDSPAIFL000	Directed	151			1.0000
R0104056	B19PRODZNERN000	Directed	152			1.0000
R0104056	B19PRODZNEDZ000	Directed	153			1.5000
R0104056	B19RSR005	Directed	154			1.0000
R0104056	B19PRDSPANBC000	Directed	155			1.0000
R0105002	B19AAP003	Directed	156			30.0000
R0105020	B19CIPP001	Directed	157			0.2000
R0105020	B19RBC001	Directed	158			0.2000
R0105020	B19RDS001	Directed	159			0.2000
R0105020	B19RSP002	Directed	160			0.2000
R0105020	B19RUM002	Directed	161			0.2000
R0105035	B19CIPP001	Directed	162			0.3000
R0105039	B19PRODZNERN000	Directed	163			0.7500
R0105039	B1930P002	Directed	164			3.0000
R0105039	B1950P002	Directed	165			5.0000
R0105039	B19CIPP001	Directed	166			0.0200
R0105039	B19NBO003	Directed	167			1.5000
R0105041	B19PRODZNERN000	Directed	168			3.7500
R0105041	B1930P002	Directed	169			15.0000
R0105041	B1950P002	Directed	170			25.0000
R0105041	B19NBO003	Directed	171			7.5000
R0105041	B19AAP003	Directed	172			12.0000
R0105060	B19QUEL002	Directed	173			5.0000
R0105122	B19PRODZNEDZ000	Directed	174			0.1000
R0105122	B19PLGO001	Directed	175			0.2000
R0105123	B19PRDSPAORM000	Directed	176			0.1000
R0105123	B19PRDSPAAFO000	Directed	177			0.1000
R0105123	B19PRODZNERN000	Directed	178			0.2000
R0105123	B19CIPP001	Directed	179			0.1000
R0105123	B19EPGX001	Directed	180			0.2000
R0105123	B19NBO003	Directed	181			0.2000
R0105123	B19NE31003	Directed	182			0.1000
R0105123	B19PLGO001	Directed	183			0.1000
R0105123	B19QUEL002	Directed	184			0.1000
R0105123	B19RBP002	Directed	185			0.1000
R0105123	B19RVE003	Directed	186			0.1000
R0105123	B19PRODZNEAIF000	Directed	187			0.2000
R0105123	B19PRDSPANBC000	Directed	188			0.1000
R0105123	B19PRODZNEDDC000	Directed	189			0.2000
R0105124	B19NE31003	Directed	190			3.0000
R0105141	B19PLGO001	Directed	191			20.0000
R0105152	B19RBC001	Directed	192			3.0000
R0105159	B19RBC001	Directed	193			6.0000
R0105159	B19RDS001	Directed	194			6.0000
R0105159	B19RSP002	Directed	195			6.0000
R0105159	B19RUM002	Directed	196			6.0000
R0105170	B19PRODZNERN000	Directed	197			2.0000
R0105170	B1930P002	Directed	198			2.0000
R0105170	B1950P002	Directed	199			2.0000
R0105170	B19CIPP001	Directed	200			0.5000
R0105170	B19EPGX001	Directed	201			1.0000
R0105170	B19NBN005	Directed	202			2.0000
