Id	Label	timeset	modularity_class
B19PRDSPAMRM000	SpaZone Marine Replenish Masque		
B19PRDSPAORM000	SpaZone Overnight Regenerative Masque		
B19PRDSPAAFO000	SpaZone Active Facial Oil		
B19PRDSPAIFL000	SpaZone Instant Facial Lift Wonder Serum		
B19PRODZNERN000	Rejuvoderm Night Maintenance		
B1930P002	Power Peel 30%		
B1950P002	Power Peel 50%		
B19CIPP001	Pigment Perfector		
B19EPGX001	Epi-GenesXpress		
B19NBN005	Age Reversal Night Complex 		
B19NBO003	Omega Night Complex		
B19NE31003	New Expression 365		
B19PRODZNEDZ000	Derma Zest Cleaning & Toning Gel		
B19PLGO001	Laser Gel Azu-Repair		
B19QUEL002	Quantum Elastin - Collagen Revival		
B19RBC001	Daily Radiant SPF25		
B19RBP002	Techno-5 Resurfacer		
B19RDS001	Daily Ultra Def SPF25		
B19RMS001	Super Smoother		
B19RSP002	Sensorial Daily Protector SPF25		
B19RSR005	Scar Repair Forte		
B19RUM002	Daily Intel Solver SPF 25		
B19RVE003	Eye Opener Serum		
B19AAP003	Acne Attack Pro-Masque		
B19AARS001	Acne Attack Rescue Serum		
B19PRODZNEAIF000	Zone Anti-Inflamm Ageing		
B19PRDSPANBC000	SpaZone Bust Refining Rejuvenator		
B19PRODZNEDDC000	Zone Derma Deep Rich Creamy Cleanser		
R010000	De Ion Water		
R0101057	Kahlwax 8108 Beeswax White		
R0101059	Crodamol ISIS LQ [MV]		
R0101063	Refined Shea Butter [Naturally Refinded]		
R0101072	Lamesoft PO 65		
R0101077	Crodamol SSA LQ [MV]		
R0101084	Isohexadecane		
R0101094	Silkflo 366		
R0101100	Evoil Apricot Kernel		
R0101102	Refined Soya Bean Oil		
R0101103	Melissa Oil		
R0101114	B.P. Glycerine		
R0101121	Evoil Hazelnut		
R0102002	Amphisol K		
R0102008	1,3 Butylene Glycol [Cosmetic Quality]		
R0102018	Tegosoft TN [Finsolve TN]		
R0102026	Eumulgin CO 40		
R0102031	Xanthan Gum FF Food Grade		
R0104015	Microcare PHG		
R0104056	Verstatil PC		
R0105002	Medical Salicylic Acid		
R0105020	Trilon BD [EDTA NA2]		
R0105035	Tri Sodium Citrate		
R0105039	Citric Acid Anhydrous		
R0105041	Galacid Heat Stable 90		
R0105060	ASC 3		
R0105122	Dragosantol 172585		
R0105123	DL A Tocopherol		
R0105124	Eyeliss		
R0105141	Lipovol C 76		
R0105152	Normaseb PH		
R0105159	Tinosorb S		
R0105170	D Panthenol		
R0105176	Empigen BS FA [AF]		
